"","month_year","year","month","season","position","Probability_Threshold","n_days"
"1",2011-01-01,2011,1,"non_critical","MC","Low",31
"2",2012-01-01,2012,1,"non_critical","MC","Low",31
"3",2013-01-01,2013,1,"non_critical","MC","Low",31
"4",2014-01-01,2014,1,"non_critical","MC","Low",31
"5",2015-01-01,2015,1,"non_critical","MC","Low",31
"6",2016-01-01,2016,1,"non_critical","MC","Low",31
"7",2017-01-01,2017,1,"non_critical","MC","Low",33
"8",2011-02-01,2011,2,"non_critical","MC","Low",28
"9",2012-02-01,2012,2,"non_critical","MC","Low",29
"10",2013-02-01,2013,2,"non_critical","MC","Low",28
"11",2014-02-01,2014,2,"non_critical","MC","Low",28
"12",2015-02-01,2015,2,"non_critical","MC","Low",28
"13",2016-02-01,2016,2,"non_critical","MC","Low",29
"14",2017-02-01,2017,2,"non_critical","MC","Low",29
"15",2011-03-01,2011,3,"non_critical","MC","Low",31
"16",2012-03-01,2012,3,"non_critical","MC","Low",31
"17",2013-03-01,2013,3,"non_critical","MC","Low",31
"18",2014-03-01,2014,3,"non_critical","MC","Low",31
"19",2015-03-01,2015,3,"non_critical","MC","Low",31
"20",2016-03-01,2016,3,"non_critical","MC","Low",31
"21",2017-03-01,2017,3,"non_critical","MC","Low",31
"22",2011-04-01,2011,4,"critical","MC","Low",30
"23",2012-04-01,2012,4,"critical","MC","Low",30
"24",2013-04-01,2013,4,"critical","MC","Low",30
"25",2014-04-01,2014,4,"critical","MC","Low",30
"26",2015-04-01,2015,4,"critical","MC","Low",30
"27",2016-04-01,2016,4,"critical","MC","Low",30
"28",2017-04-01,2017,4,"critical","MC","Low",30
"29",2011-05-01,2011,5,"critical","MC","Low",31
"30",2012-05-01,2012,5,"critical","MC","Low",31
"31",2013-05-01,2013,5,"critical","MC","Low",31
"32",2014-05-01,2014,5,"critical","MC","Low",31
"33",2015-05-01,2015,5,"critical","MC","Low",31
"34",2016-05-01,2016,5,"critical","MC","Low",31
"35",2017-05-01,2017,5,"critical","MC","Low",31
"36",2011-06-01,2011,6,"critical","MC","Low",30
"37",2012-06-01,2012,6,"critical","MC","Low",30
"38",2013-06-01,2013,6,"critical","MC","Low",30
"39",2014-06-01,2014,6,"critical","MC","Low",30
"40",2015-06-01,2015,6,"critical","MC","Low",30
"41",2016-06-01,2016,6,"critical","MC","Low",30
"42",2017-06-01,2017,6,"critical","MC","Low",30
"43",2011-07-01,2011,7,"critical","MC","Low",31
"44",2012-07-01,2012,7,"critical","MC","Low",31
"45",2013-07-01,2013,7,"critical","MC","Low",31
"46",2014-07-01,2014,7,"critical","MC","Low",31
"47",2015-07-01,2015,7,"critical","MC","Low",31
"48",2016-07-01,2016,7,"critical","MC","Low",31
"49",2017-07-01,2017,7,"critical","MC","Low",31
"50",2011-08-01,2011,8,"critical","MC","Low",31
"51",2012-08-01,2012,8,"critical","MC","Low",31
"52",2013-08-01,2013,8,"critical","MC","Low",31
"53",2014-08-01,2014,8,"critical","MC","Low",31
"54",2015-08-01,2015,8,"critical","MC","Low",31
"55",2016-08-01,2016,8,"critical","MC","Low",31
"56",2017-08-01,2017,8,"critical","MC","Low",31
"57",2011-09-01,2011,9,"critical","MC","Low",30
"58",2012-09-01,2012,9,"critical","MC","Low",30
"59",2013-09-01,2013,9,"critical","MC","Low",30
"60",2014-09-01,2014,9,"critical","MC","Low",30
"61",2015-09-01,2015,9,"critical","MC","Low",30
"62",2016-09-01,2016,9,"critical","MC","Low",30
"63",2017-09-01,2017,9,"critical","MC","Low",30
"64",2010-10-01,2010,10,"non_critical","MC","Low",31
"65",2011-10-01,2011,10,"non_critical","MC","Low",31
"66",2012-10-01,2012,10,"non_critical","MC","Low",31
"67",2013-10-01,2013,10,"non_critical","MC","Low",31
"68",2014-10-01,2014,10,"non_critical","MC","Low",31
"69",2015-10-01,2015,10,"non_critical","MC","Low",31
"70",2016-10-01,2016,10,"non_critical","MC","Low",31
"71",2010-11-01,2010,11,"non_critical","MC","Low",30
"72",2011-11-01,2011,11,"non_critical","MC","Low",30
"73",2012-11-01,2012,11,"non_critical","MC","Low",30
"74",2013-11-01,2013,11,"non_critical","MC","Low",30
"75",2014-11-01,2014,11,"non_critical","MC","Low",30
"76",2015-11-01,2015,11,"non_critical","MC","Low",30
"77",2016-11-01,2016,11,"non_critical","MC","Low",30
"78",2010-12-01,2010,12,"non_critical","MC","Low",33
"79",2011-12-01,2011,12,"non_critical","MC","Low",31
"80",2012-12-01,2012,12,"non_critical","MC","Low",31
"81",2013-12-01,2013,12,"non_critical","MC","Low",31
"82",2014-12-01,2014,12,"non_critical","MC","Low",31
"83",2015-12-01,2015,12,"non_critical","MC","Low",31
"84",2016-12-01,2016,12,"non_critical","MC","Low",31
"85",2011-01-01,2011,1,"non_critical","MC","Medium",31
"86",2012-01-01,2012,1,"non_critical","MC","Medium",31
"87",2013-01-01,2013,1,"non_critical","MC","Medium",31
"88",2014-01-01,2014,1,"non_critical","MC","Medium",31
"89",2015-01-01,2015,1,"non_critical","MC","Medium",31
"90",2016-01-01,2016,1,"non_critical","MC","Medium",33
"91",2017-01-01,2017,1,"non_critical","MC","Medium",35
"92",2011-02-01,2011,2,"non_critical","MC","Medium",28
"93",2012-02-01,2012,2,"non_critical","MC","Medium",29
"94",2013-02-01,2013,2,"non_critical","MC","Medium",28
"95",2014-02-01,2014,2,"non_critical","MC","Medium",30
"96",2015-02-01,2015,2,"non_critical","MC","Medium",28
"97",2016-02-01,2016,2,"non_critical","MC","Medium",29
"98",2017-02-01,2017,2,"non_critical","MC","Medium",28
"99",2011-03-01,2011,3,"non_critical","MC","Medium",32
"100",2012-03-01,2012,3,"non_critical","MC","Medium",31
"101",2013-03-01,2013,3,"non_critical","MC","Medium",31
"102",2014-03-01,2014,3,"non_critical","MC","Medium",32
"103",2015-03-01,2015,3,"non_critical","MC","Medium",31
"104",2016-03-01,2016,3,"non_critical","MC","Medium",31
"105",2017-03-01,2017,3,"non_critical","MC","Medium",31
"106",2011-04-01,2011,4,"critical","MC","Medium",30
"107",2012-04-01,2012,4,"critical","MC","Medium",30
"108",2013-04-01,2013,4,"critical","MC","Medium",30
"109",2014-04-01,2014,4,"critical","MC","Medium",30
"110",2015-04-01,2015,4,"critical","MC","Medium",30
"111",2016-04-01,2016,4,"critical","MC","Medium",30
"112",2017-04-01,2017,4,"critical","MC","Medium",30
