"","month","year","position","days_per_month_low","days_per_month_medium","days_per_month_high"
"1",1,2011,"LOB",30,29,0
"2",1,2011,"MC",28,28,28
"3",1,2011,"ROB",30,29,0
"4",1,2012,"LOB",29,29,0
"5",1,2012,"MC",29,29,29
"6",1,2012,"ROB",29,29,0
"7",1,2013,"LOB",30,29,0
"8",1,2013,"MC",28,28,25
"9",1,2013,"ROB",30,29,0
"10",1,2014,"LOB",31,31,0
"11",1,2014,"MC",31,31,31
"12",1,2014,"ROB",31,31,0
"13",1,2015,"LOB",29,28,0
"14",1,2015,"MC",28,28,27
"15",1,2015,"ROB",29,28,0
"16",1,2016,"LOB",27,27,0
"17",1,2016,"MC",27,27,26
"18",1,2016,"ROB",27,27,0
"19",1,2017,"LOB",22,18,0
"20",1,2017,"MC",20,20,20
"21",1,2017,"ROB",22,18,0
"22",2,2011,"LOB",23,23,0
"23",2,2011,"MC",22,22,22
"24",2,2011,"ROB",23,23,0
"25",2,2012,"LOB",29,29,0
"26",2,2012,"MC",29,29,28
"27",2,2012,"ROB",29,29,0
"28",2,2013,"LOB",27,26,0
"29",2,2013,"MC",26,26,26
"30",2,2013,"ROB",27,26,0
"31",2,2014,"LOB",25,24,0
"32",2,2014,"MC",24,24,24
"33",2,2014,"ROB",25,24,0
"34",2,2015,"LOB",27,27,0
"35",2,2015,"MC",26,25,25
"36",2,2015,"ROB",27,27,0
"37",2,2016,"LOB",27,27,0
"38",2,2016,"MC",27,27,27
"39",2,2016,"ROB",27,27,0
"40",2,2017,"LOB",22,22,0
"41",2,2017,"MC",21,18,16
"42",2,2017,"ROB",22,22,0
"43",3,2011,"LOB",25,25,6
"44",3,2011,"MC",23,22,22
"45",3,2011,"ROB",25,25,6
"46",3,2012,"LOB",28,28,0
"47",3,2012,"MC",27,26,26
"48",3,2012,"ROB",28,28,0
"49",3,2013,"LOB",30,30,0
"50",3,2013,"MC",29,29,29
"51",3,2013,"ROB",30,30,0
"52",3,2014,"LOB",30,30,0
"53",3,2014,"MC",30,30,30
"54",3,2014,"ROB",30,30,0
"55",3,2015,"LOB",29,29,0
"56",3,2015,"MC",29,29,29
"57",3,2015,"ROB",29,29,0
"58",3,2016,"LOB",28,28,0
"59",3,2016,"MC",28,28,28
"60",3,2016,"ROB",28,28,0
"61",3,2017,"LOB",31,30,0
"62",3,2017,"MC",30,30,30
"63",3,2017,"ROB",31,30,0
"64",4,2011,"LOB",30,30,2
"65",4,2011,"MC",30,30,30
"66",4,2011,"ROB",30,30,2
"67",4,2012,"LOB",26,26,0
"68",4,2012,"MC",26,26,26
"69",4,2012,"ROB",26,26,0
"70",4,2013,"LOB",30,30,0
"71",4,2013,"MC",30,30,30
"72",4,2013,"ROB",30,30,0
"73",4,2014,"LOB",29,29,0
"74",4,2014,"MC",29,28,28
"75",4,2014,"ROB",29,29,0
"76",4,2015,"LOB",30,30,0
"77",4,2015,"MC",29,29,28
"78",4,2015,"ROB",30,30,0
"79",4,2016,"LOB",30,30,0
"80",4,2016,"MC",27,27,27
"81",4,2016,"ROB",30,30,0
"82",4,2017,"LOB",30,30,0
"83",4,2017,"MC",30,29,29
"84",4,2017,"ROB",30,30,0
"85",5,2011,"LOB",30,30,0
"86",5,2011,"MC",29,29,28
"87",5,2011,"ROB",30,30,0
"88",5,2012,"LOB",31,31,0
"89",5,2012,"MC",31,31,31
"90",5,2012,"ROB",31,31,0
"91",5,2013,"LOB",29,29,0
"92",5,2013,"MC",29,29,29
"93",5,2013,"ROB",29,29,0
"94",5,2014,"LOB",31,28,0
"95",5,2014,"MC",31,31,31
"96",5,2014,"ROB",31,28,0
"97",5,2015,"LOB",30,29,0
"98",5,2015,"MC",30,30,29
"99",5,2015,"ROB",30,29,0
"100",5,2016,"LOB",30,30,0
"101",5,2016,"MC",30,30,30
"102",5,2016,"ROB",30,30,0
"103",5,2017,"LOB",31,31,0
"104",5,2017,"MC",30,30,30
"105",5,2017,"ROB",31,31,0
"106",6,2011,"LOB",30,30,0
"107",6,2011,"MC",30,30,30
"108",6,2011,"ROB",30,30,0
"109",6,2012,"LOB",30,30,0
"110",6,2012,"MC",30,30,30
"111",6,2012,"ROB",30,30,0
"112",6,2013,"LOB",30,30,0
"113",6,2013,"MC",30,30,30
"114",6,2013,"ROB",30,30,0
"115",6,2014,"LOB",30,30,0
"116",6,2014,"MC",30,30,30
"117",6,2014,"ROB",30,30,0
"118",6,2015,"LOB",30,30,0
"119",6,2015,"MC",30,30,30
"120",6,2015,"ROB",30,30,0
"121",6,2016,"LOB",30,30,0
"122",6,2016,"MC",30,30,30
"123",6,2016,"ROB",30,30,0
"124",6,2017,"LOB",30,30,0
"125",6,2017,"MC",30,30,30
"126",6,2017,"ROB",30,30,0
"127",7,2011,"LOB",31,31,0
"128",7,2011,"MC",31,31,31
"129",7,2011,"ROB",31,31,0
"130",7,2012,"LOB",31,31,0
"131",7,2012,"MC",31,31,31
"132",7,2012,"ROB",31,31,0
"133",7,2013,"LOB",31,31,0
"134",7,2013,"MC",31,31,31
"135",7,2013,"ROB",31,31,0
"136",7,2014,"LOB",31,31,0
"137",7,2014,"MC",31,31,31
"138",7,2014,"ROB",31,31,0
"139",7,2015,"LOB",31,31,0
"140",7,2015,"MC",31,31,31
"141",7,2015,"ROB",31,31,0
"142",7,2016,"LOB",31,31,0
"143",7,2016,"MC",31,31,31
"144",7,2016,"ROB",31,31,0
"145",7,2017,"LOB",31,31,0
"146",7,2017,"MC",31,31,31
"147",7,2017,"ROB",31,31,0
"148",8,2011,"LOB",31,31,0
"149",8,2011,"MC",31,31,31
"150",8,2011,"ROB",31,31,0
"151",8,2012,"LOB",31,31,0
"152",8,2012,"MC",31,31,31
"153",8,2012,"ROB",31,31,0
"154",8,2013,"LOB",31,31,0
"155",8,2013,"MC",31,31,31
"156",8,2013,"ROB",31,31,0
"157",8,2014,"LOB",31,31,0
"158",8,2014,"MC",31,31,31
"159",8,2014,"ROB",31,31,0
"160",8,2015,"LOB",31,31,0
"161",8,2015,"MC",31,31,31
"162",8,2015,"ROB",31,31,0
"163",8,2016,"LOB",31,31,0
"164",8,2016,"MC",31,31,31
"165",8,2016,"ROB",31,31,0
"166",8,2017,"LOB",31,31,0
"167",8,2017,"MC",31,31,31
"168",8,2017,"ROB",31,31,0
"169",9,2011,"LOB",30,30,0
"170",9,2011,"MC",30,30,30
"171",9,2011,"ROB",30,30,0
"172",9,2012,"LOB",30,30,0
"173",9,2012,"MC",30,30,30
"174",9,2012,"ROB",30,30,0
"175",9,2013,"LOB",30,30,0
"176",9,2013,"MC",30,30,30
"177",9,2013,"ROB",30,30,0
"178",9,2014,"LOB",30,30,0
"179",9,2014,"MC",30,30,30
"180",9,2014,"ROB",30,30,0
"181",9,2015,"LOB",30,30,0
"182",9,2015,"MC",30,30,29
"183",9,2015,"ROB",30,30,0
"184",9,2016,"LOB",30,30,0
"185",9,2016,"MC",30,30,30
"186",9,2016,"ROB",30,30,0
"187",9,2017,"LOB",30,30,0
"188",9,2017,"MC",30,30,30
"189",9,2017,"ROB",30,30,0
"190",10,2010,"LOB",28,27,0
"191",10,2010,"MC",26,25,25
"192",10,2010,"ROB",28,27,0
"193",10,2011,"LOB",30,29,0
"194",10,2011,"MC",30,30,30
"195",10,2011,"ROB",30,29,0
"196",10,2012,"LOB",30,30,0
"197",10,2012,"MC",30,30,30
"198",10,2012,"ROB",30,30,0
"199",10,2013,"LOB",31,12,0
"200",10,2013,"MC",31,31,31
"201",10,2013,"ROB",31,12,0
"202",10,2014,"LOB",30,27,0
"203",10,2014,"MC",30,30,30
"204",10,2014,"ROB",30,27,0
"205",10,2015,"LOB",30,30,0
"206",10,2015,"MC",30,29,28
"207",10,2015,"ROB",30,30,0
"208",10,2016,"LOB",31,31,0
"209",10,2016,"MC",30,30,28
"210",10,2016,"ROB",31,31,0
"211",11,2010,"LOB",28,27,0
"212",11,2010,"MC",26,26,26
"213",11,2010,"ROB",28,27,0
"214",11,2011,"LOB",26,26,0
"215",11,2011,"MC",26,26,26
"216",11,2011,"ROB",26,26,0
"217",11,2012,"LOB",27,27,0
"218",11,2012,"MC",27,27,26
"219",11,2012,"ROB",27,27,0
"220",11,2013,"LOB",30,5,0
"221",11,2013,"MC",28,28,28
"222",11,2013,"ROB",30,5,0
"223",11,2014,"LOB",28,28,0
"224",11,2014,"MC",28,28,28
"225",11,2014,"ROB",28,28,0
"226",11,2015,"LOB",30,30,0
"227",11,2015,"MC",30,30,30
"228",11,2015,"ROB",30,30,0
"229",11,2016,"LOB",27,27,0
"230",11,2016,"MC",27,27,27
"231",11,2016,"ROB",27,27,0
"232",12,2010,"LOB",21,20,3
"233",12,2010,"MC",20,19,18
"234",12,2010,"ROB",21,20,3
"235",12,2011,"LOB",29,29,0
"236",12,2011,"MC",28,28,28
"237",12,2011,"ROB",29,29,0
"238",12,2012,"LOB",23,23,1
"239",12,2012,"MC",23,23,21
"240",12,2012,"ROB",23,23,1
"241",12,2013,"LOB",30,28,0
"242",12,2013,"MC",30,29,29
"243",12,2013,"ROB",30,28,0
"244",12,2014,"LOB",26,26,0
"245",12,2014,"MC",25,25,23
"246",12,2014,"ROB",26,26,0
"247",12,2015,"LOB",29,23,0
"248",12,2015,"MC",28,28,28
"249",12,2015,"ROB",29,23,0
"250",12,2016,"LOB",23,23,0
"251",12,2016,"MC",23,23,23
"252",12,2016,"ROB",23,23,0
